sim31,sim32,sim33,sim34,sim35,sim36,sim37,sim38
16662626_3,18966311_1,8977977_3,29984370_1,17303784_3,8000274_3,17651986_4,29858206_1
24090798_5,15523484_1,10193311_5,4725744_2,12340557_1,15668417_3,4318131_4,13117232_3
23100044_3,21787482_3,11649675_5,15827782_3,7483189_5,7780368_5,23532701_1,1542834_4
20402593_1,25737998_1,13592917_5,21110107_5,3999068_2,20013176_3,18165888_2,16416804_4
14002969_1,15896412_4,14970684_3,22645403_3,21244210_1,294663_3,12734741_1,7112484_4
524539_4,8089296_4,10848970_3,11786205_1,3760227_2,13997301_3,9101697_4,15830379_3
311893_4,9611373_1,5306055_4,5073986_4,7218558_2,12684962_1,9690092_3,5290654_2
5573612_5,1028832_4,4025003_2,14667440_3,7067172_1,21685615_1,13817476_5,10173027_1
17718507_5,12656924_3,14378239_2,8383518_2,10318667_3,1622108_4,14070388_5,5376550_5
27994673_1,15811919_1,16481399_2,18095187_5,3598666_3,4911057_4,8963979_4,9637041_5
7681823_4,11685949_4,12377575_3,27116914_1,4919408_2,26091559_1,4110711_5,25235793_1
13566770_4,4651799_2,1023642_2,4984366_5,1713018_1,371112_5,250634_1,6981497_4
12413391_4,5013132_4,8137899_1,1867581_4,10033341_3,3932885_4,17542926_3,21991865_3
227148_5,9248951_5,11973202_5,29662214_1,9649728_3,3061875_3,18806415_1,9779137_2
5319309_2,2738368_2,16495915_1,5897162_1,4531005_4,3910956_3,16028429_1,14595350_2
16255281_1,7312077_2,16939836_2,4954910_2,1587153_3,549685_4,12291530_2,12738578_5
15570732_3,7227982_1,18102824_5,1745975_4,11204930_3,9639072_2,8036449_4,16936800_1
1923937_1,7077495_2,14884125_3,28470125_1,13837975_1,3306116_4,9905000_5,6016444_4
7526407_2,4493170_2,2143017_4,10285129_5,17028549_3,12690768_3,17813166_4,6596194_1
11517821_2,1195880_2,19675771_3,13916201_3,22327801_1,18562146_5,1440308_3,19231628_5
10877989_4,5090862_4,4731802_4,9882076_5,18286681_2,13895695_5,17707802_3,17090955_3
16035723_1,9310640_2,7327524_3,11010109_1,26380992_5,9036917_2,17639842_3,6891586_5
28394834_1,3744717_5,5493758_2,22317294_1,9851377_5,4283368_3,22102307_1,25075719_5
15726059_1,18174455_4,7072324_2,19383178_5,11026367_1,10489755_3,14927739_3,3534403_4
9500094_5,4623050_1,15875797_1,17562249_2,22902208_1,12755757_2,18235826_4,6384167_1
4306557_4,9791607_4,22004099_1,1272747_5,8297379_1,9305889_3,19334312_1,23894363_1
20456153_3,4847700_1,17307869_3,18558699_5,5927297_4,21954670_1,24031784_1,11040854_4
6274347_5,11940059_3,3717341_5,16209790_1,17865426_5,24726064_5,21412638_1,7288433_1
8539521_4,3584467_1,16801097_5,12166481_4,2199714_4,15634253_3,13942456_5,15157105_5
14007709_5,15876003_3,20265010_5,17028333_1,8265406_3,9168100_5,16060379_2,4896124_4
5786700_2,24369458_1,8940892_5,15976462_3,12595876_5,7802211_5,11497655_1,20342332_3
10662588_2,2790330_5,3659314_2,16112429_5,7469866_1,8967766_3,7340838_2,19488305_5
8213825_2,15292162_5,10930096_4,5400168_1,2002930_2,19111501_2,4855016_2,11502192_3
22250464_1,14123620_4,16677007_2,5172764_2,5813972_1,15075936_5,17723462_5,1833718_4
9713049_1,11275825_3,5143401_1,23462096_1,14371886_2,18114490_5,1664570_2,3189831_5
15263429_5,7268993_2,2794280_4,1806844_4,11104946_3,5244837_2,17964053_2,8695212_1
15624752_5,17381720_2,15488549_3,26583060_1,8290488_2,6135856_1,19423502_5,7235580_4
19625275_3,22230684_5,11783918_3,19375301_1,8475182_3,23404771_1,25185423_1,12019629_2
8787101_4,5721115_4,16670527_5,23426728_1,27994673_1,16313977_1,6120437_4,13151419_5
5996396_2,12777372_3,22975214_1,11128357_1,6937019_5,10670274_2,17895961_1,5958889_2
9275982_5,11875539_3,9307591_3,9546709_1,11623419_3,19994762_5,12140194_3,24555224_1
4946010_2,12544264_3,19616573_5,10582822_2,20502920_3,7204267_4,15079352_4,6476493_4
8044739_4,24043693_1,977696_3,12128929_4,18165888_2,29383141_1,15546589_3,23158458_1
18484721_5,5513303_5,24747473_1,23866192_1,7570501_1,2587660_1,7339081_5,7993245_2
