sim_id,type,snp_id,beta
sim15,background,11388092_3,-0.0288419828315768
sim15,background,8275647_3,0.0645753725574988
sim15,background,5691287_5,-0.1147815359412126
sim15,background,16355833_3,0.0075197350154375
sim15,background,18221353_5,0.0657906302422334
sim15,background,5774758_2,-0.012745534052358
sim15,background,7238096_1,-0.0995883433006453
sim15,background,19818464_1,0.0359649306960943
sim15,background,17418123_3,0.0237263189477753
sim15,background,14908719_5,0.0828087334960403
sim15,background,13265481_3,-0.263436296036152
sim15,background,1440054_1,-0.0604277311568679
sim15,background,6378572_2,0.1140877369737763
sim15,background,7288484_3,0.0735192482835391
sim15,background,21685880_1,-0.1666766099364094
sim15,background,28259386_1,0.0343633493043745
sim15,background,15813532_5,-0.0152207508708717
sim15,background,20976440_5,-0.1075516856631403
sim15,background,6220598_4,0.1193330141495702
sim15,background,16462785_1,-0.1772385183893375
sim15,background,9208138_2,-0.0063196889785736
sim15,background,6143297_1,-0.0646989410441969
sim15,background,25760042_1,-0.1494916351734566
sim15,background,10621350_4,0.153148612607861
sim15,background,2833238_4,0.1104838275892695
sim15,background,6006613_4,-0.1036646229323104
sim15,background,9312661_2,0.0817387467671328
sim15,background,23243146_3,0.1297220067942729
sim15,background,10579291_2,0.0567223654972552
sim15,background,2530076_2,-0.1852183689018241
sim15,background,7898588_4,0.2595763001302898
sim15,background,17356834_4,0.1152060133354683
sim15,background,549685_4,-0.0153098978565902
sim15,background,2915863_1,-0.091276676973231
sim15,background,3513794_2,0.1055111410915537
sim15,background,17171357_2,0.0649487317015616
sim15,background,7994527_5,-0.0139042327455582
sim15,background,1387471_2,-0.0688387938827749
sim15,background,5052910_1,0.0658110451497333
sim15,background,13583767_1,0.1033983498314499
sim15,background,16961588_3,0.0996329157562569
sim15,background,25581190_1,-0.1790909435782411
sim15,background,11731109_2,-0.0273366915692968
sim15,background,12771374_5,-0.0156584719767241
sim15,background,16829618_1,-0.2193192488646971
sim15,background,11485439_1,0.1178182225836338
sim15,background,21157148_1,-0.0781146359931348
sim15,background,5013132_4,0.2296223325058722
sim15,background,8576766_5,0.0639831872678983
sim15,background,285609_4,-0.0021289283643018
sim15,background,17139939_3,0.0836969813713366
sim15,background,6904774_4,0.1035178071003689
sim15,background,22598749_5,0.1266725113511532
sim15,background,21068785_5,-0.054957682396684
sim15,background,5054514_2,-0.1125158949369956
sim15,background,17305488_3,-0.2251168913567499
sim15,background,10253337_3,-0.0847073987646832
sim15,background,17336929_4,0.0256919303430904
sim15,background,9002189_5,-0.0443316744358775
sim15,background,16289557_2,-0.0581823038145883
sim15,background,10291943_3,0.0195484449747981
sim15,background,9919271_1,-0.0699549900069371
sim15,background,3631659_3,-0.0460398607647049
sim15,background,16672728_5,-0.2547398070172156
sim15,background,27532543_1,0.0127215979428831
sim15,background,26080658_1,0.1926357122700855
sim15,background,10334300_4,-0.0835161544404248
sim15,background,10142997_5,-0.005487102662465
sim15,background,4427081_2,0.034678002702502
sim15,background,16780585_3,-0.0462634198288271
sim15,background,6894882_2,-0.0379077625407428
sim15,background,27914532_1,-0.0871901275452012
sim15,background,15508903_5,0.0191412582943823
sim15,background,13989180_5,0.1345108464079775
sim15,background,21620459_1,0.0225536432425321
sim15,background,14069692_4,0.1432888972837239
sim15,background,1747572_5,0.1745496494507246
sim15,background,14592717_4,0.0799966179503966
sim15,background,7235517_2,0.1294578167065782
