,sim15,sim15_shift,sim16,sim16_shift,sim17,sim17_shift,sim18,sim18_shift,sim19,sim19_shift,sim20,sim20_shift,sim21,sim21_shift,sim22,sim22_shift
9378,,,-2.7449663646756015,6.398629702173759,-1.9431458275500868,8.333935522973656,,,,,0.22441728792703008,8.436806857279358,,,7.868593181747546,14.927416050066746
9367,-1.49930280828067,4.533983632739091,,,1.1044677084587518,11.381549058982493,,,,,-1.4021196476811306,6.810269921671196,,,,
9356,1.642063160298925,7.675349601318686,,,3.3400660963155455,13.617147446839288,,,2.134245590183053,9.102149628499578,3.795838615251598,12.008228184603926,,,5.849418216374492,12.908241084693692
9355,2.252527354545662,8.285813795565424,,,2.1032981642593684,12.380379514783112,,,,,,,0.7048023760119277,9.562013782557402,,
9354,,,-4.039146904498619,5.1044491623507415,-0.4456386665300265,9.831442683993716,,,4.107344345568823,11.075248383885349,,,,,6.968055375370674,14.026878243689875
9351,3.615342627510884,9.648629068530646,,,-3.063275210978585,7.213806139545158,,,3.206509506250519,10.174413544567045,3.205229028504438,11.417618597856766,2.76762951510588,11.624840921651355,,
9344,,,,,0.08917846779644045,10.366259818320183,,,,,-1.2166696079867325,6.9957199613655945,,,,
9482,,,,,-2.901612530127868,7.3754688203958745,,,-1.0498287833391036,5.918075254977422,,,-3.140544998726226,5.716666407819249,4.581138851135982,11.639961719455183
9472,7.509933296293111,13.543219737312873,,,-2.7549834971241367,7.522097853399606,,,0.5926647250874788,7.560568763404005,,,0.021686988394306272,8.87889839493978,,
9469,-2.1346604420763557,3.898625998943406,,,2.012529723396711,12.289611073920454,,,3.3595858085700683,10.327489846886595,-2.2821834787893667,5.93020609056296,-0.560488381299405,8.29672302524607,4.199825242888485,11.258648111207686
9419,2.8894309404779435,8.922717381497705,,,-4.77013020562414,5.5069511448996025,,,,,,,,,,
9418,,,,,-3.6649068134106595,6.6121745371130825,,,3.797009772759873,10.764913811076399,,,,,,
9349,,,-4.596661123876203,4.546934942973158,-2.983785168378111,7.293296182145632,,,,,0.27579717647203794,8.488186745824365,-2.083224640858443,6.773986765687031,,
9446,-0.9680187227979575,5.065267718221804,,,-3.005200494474953,7.2718808560487895,,,1.2586300018073855,8.226534040123912,-2.610643184863231,5.601746384489096,,,6.191852360770348,13.250675229089548
9443,-0.4003220035531354,5.632964437466626,,,-6.183828196409144,4.093253154114598,,,0.3353056530844633,7.303209691400989,-1.7247893767441518,6.487600192608175,-0.3320523886899357,8.52515901785554,4.484917362226751,11.543740230545952
996,,,,,-1.777526975016767,8.499554375506975,,,2.0701005387534734,9.03800457707,,,-2.7157693232872737,6.1414420832582,,
1068,,,,,-4.962007705394764,5.315073645128979,,,,,,,-0.8069995550024445,8.050211851543029,6.101187888295807,13.160010756615009
1026,,,,,3.29183104372739,13.568912394251132,,,-1.1411505477691422,5.826753490547384,,,,,6.0362464652831775,13.095069333602378
1585,,,1.4247109099840336,10.568306976833394,-7.237554175996732,3.0395271745270103,,,7.421959875352881,14.389863913669407,-2.4794965011909733,5.732893068161354,,,,
1435,11.142093316167998,17.17537975718776,-2.8113215743972044,6.3322744924521555,-5.031629088171464,5.245452262352279,,,,,8.07375284135681,16.28614241070914,-2.0274625168799676,6.829748889665506,,
1169,6.412267223857977,12.445553664877739,,,-3.8861539055273435,6.390927444996398,,,,,,,,,,
1075,,,,,-4.152962524723039,6.1241188258007035,-2.220497095292138,7.985354112811008,7.0693297528126635,14.03723379112919,4.761856440563413,12.97424600991574,0.5710086824221032,9.428220088967578,4.021723231270959,11.08054609959016
1132,,,-1.0437057321240282,8.099890334725332,-3.643377199229222,6.63370415129452,,,0.28000790467055336,7.247911942987079,-3.784747894106507,4.42764167524582,-0.9098330167614188,7.947378389784055,,
1064,7.314496073418191,13.347782514437952,1.1480155094267683,10.291611576276129,0.336288336872909,10.613369687396652,,,,,0.7697516345378628,8.98214120389019,,,2.864276976666412,9.923099844985613
1247,,,,,-3.637899524643697,6.639181825880046,,,,,-0.09629738404971325,8.116092185302612,,,,
1391,,,,,0.11329387798402912,10.390375228507772,,,,,0.8983801531356834,9.11076972248801,,,3.514065301277721,10.572888169596922
1374,2.0098093009366975,8.04309574195646,1.392179462995583,10.535775529844944,4.2801127219683135,14.557194072492056,-7.0481279587556775,3.1577232493474687,,,,,,,3.188490900003776,10.247313768322977
1318,,,,,-0.8885651690102776,9.388516181513465,,,,,,,3.0229698852210545,11.88018129176653,,
1163,2.4838554571346276,8.517141898154389,,,-6.255765610976817,4.0213157395469254,,,3.543631247156744,10.51153528547327,1.9583151773064285,10.170704746658755,1.8662128974014185,10.723424303946892,4.250550519271978,11.30937338759118
1153,,,,,0.5522580787409979,10.82933942926474,,,5.363667174893846,12.33157121321037,,,,,,
1073,,,,,-6.645817103854372,3.63126424666937,,,,,,,-3.17434961055891,5.682861795986565,11.697729153901463,18.756552022220664
1072,,,,,-0.1933395243162046,10.083741826207538,,,-0.8604547199914518,6.107449318325074,,,4.239100939109885,13.09631234565536,,
394,,,,,-1.2447707008241613,9.032310649699582,,,-0.5163465008911292,6.451557537425397,3.312815063085132,11.52520463243746,-0.5849741559788417,8.272237250566633,,
7,,,,,-0.9773410345388985,9.299740315984844,,,0.11243529905123473,7.080339337367761,,,,,,
203,,,,,5.404160875817414,15.681242226341157,,,2.0136808186902355,8.981584857006762,3.676812959841292,11.88920252919362,1.7671377957487289,10.624349202294203,,
236,1.6458446095720558,7.679131050591817,-1.773370049711719,7.370226017137641,-1.3963304260038047,8.880750924519937,,,-1.8322673585667304,5.135636679749796,,,1.3882000431822965,10.24541144972777,,
367,12.274647892926883,18.307934333946644,,,1.7445427854183628,12.021624135942105,,,6.14771752583178,13.115621564148306,,,,,,
123,7.069229785675955,13.102516226695716,-1.1343461370539676,8.009249929795393,1.5063916774141883,11.78347302793793,,,-0.9059949846747433,6.061909053641783,,,,,,
395,4.952822221297397,10.986108662317157,,,1.3174564698096543,11.594537820333397,,,,,-0.6101220331815325,7.602267536170794,0.8233958913148864,9.68060729786036,0.49988987940857577,7.5587127477277765
196,-1.4884269150560865,4.544859525963675,-3.031494281030017,6.112101785819343,0.5588892886378013,10.835970639161543,,,-1.77457500203962,5.193329036276905,,,1.6653987314741503,10.522610138019624,5.29018719069762,12.34901005901682
264,,,-1.718771322997147,7.424824743852213,0.9480772057023004,11.225158556226043,,,3.484600116046007,10.452504154362533,,,0.20589030575436462,9.063101712299838,4.829398641933789,11.88822151025299
185,,,3.0665110052236364,12.210107072072997,,,,,-0.6121369525995528,6.355767085716973,2.044249738501196,10.256639307853522,,,,
297,,,,,2.386393310032244,12.663474660555986,,,7.73475558451361,14.702659622830136,3.6871219111437643,11.899511480496091,,,3.407546458880454,10.466369327199654
318,1.758667273597985,7.791953714617747,-4.033041738318848,5.110554328530513,0.8597567580941909,11.136838108617933,,,8.704903098751556,15.672807137068082,,,,,3.662337791206556,10.721160659525756
